originating_name,target_name,reaction_count,message,name,description,link
pirati,dvtv,95,"Michal Horáček bude v roce 2018 kandidovat na prezidenta. Teď bude hledat dobrovolníky, kteří mu s kampaní pomůžou. A musí taky sehnat 50 tisíc podpisů občanů. Myslíte, že má šanci porazit Miloše Zemana? Nebo myslíte, že se objeví nějaký další kandidát? Kdo by to měl být podle vás?",Horáček bude kandidovat na prezidenta. Má šanci porazit Miloše Zemana? A proč chce být prezidentem?,"Není jisté, že Zeman půjde znovu do voleb, vyžaduje to totiž velkou osobní statečnost. Kdyby prohrál, tak hodně ztratí, tvrdí textař Michal Horáček.",http://video.aktualne.cz/dvtv/horacek-potvrdil-kandidaturu-na-prezidenta-svuj-zamer-to-ude/r~68d5f20896f211e6af6e002590604f2e/
pirati,dvtv,90,"My jen doufáme, že tenhle Martinův pohled se vám dlouho neomrzí. Děkujeme Ondrovi, že si s tím dal práci a jestli jste pro DVTV ještě nehlasovali v Křišťálové lupe, ještě můžete do konce týdne: http://bit.ly/2df3EEF, pak už s tím dáme pokoj :)",i.giphy.com,,http://i.giphy.com/3o7TKvTlnLUC6fuPHa.gif
pirati,top09,89,"Miroslav Kalousek: „Fandím Angele. Ne, že by mi nevadily některé její kroky, ale není populistka, je statečná a má vizi světa, ve kterém chci žít.“ Souhlasíte -> (y), nesouhlasíte -> :(.",Merkelová začala ve své zemi opět posilovat. Na 55 procent Němců si ji stále přeje za kancléřku,"Šéfka německé vlády Angela Merkelová by měla v nejbližší budoucnosti oznámit, zda bude příští rok opět kandidovat na kancléřku. ",http://zahranicni.ihned.cz/c1-65524620-merkelova-zacala-ve-sve-zemi-opet-posilovat-na-55-procent-nemcu-si-ji-stale-preje-za-kanclerku
pirati,sz,89,Jsme svědky šokující politické zbabělosti.,Společné prohlášení nejvyšších ústavních činitelů České republiky - Pražský hrad,"Jako nejvyšší ústavní činitelé České republiky, chceme společně zdůraznit, že naše země při naplňování své dlouhodobé politiky vůči Čínské lidové republice vychází z principů strategického partnerství mezi oběma zeměmi a ze vzájemného respektu ke svrchovanosti a územní celistvosti Čínské lidové repu...",https://www.hrad.cz/cs/pro-media/tiskove-zpravy/aktualni-tiskove-zpravy/spolecne-prohlaseni-nejvyssich-ustavnich-cinitelu-ceske-republiky-12953
pirati,usvit,88,,Rekonstrukce státu,"Nečekaná radost ve sněmovně. Volební zákony definitivně schváleny!

Radostná zpráva, kterou jsme opravdu nečekali, přišla dnes večer ze sněmovny. Poslanci se rozhodli neplánovaně hlasovat o zákonech vrácených ze Senátu. Jedněmi z prvních byly novely volebních zákonů - a poslanci je před malou chvílí schválili. Další rekonstrukční zákon je tedy na světě!

Od nového roku a rozhodně u příštích parlamentních voleb se tedy společně s námi můžete těšit třeba na: předvolební kampaně, na které nebudou mít strany neomezené peníze, na to, že všechny billboardy už budou označené nebo na to, že každé kuře, které bude chtít zasáhnout do kampaně, bude mít na svou podporu vybrané straně jen omezené peníze.

Pokud váš poslanec hlasoval pro, můžete mu teď poděkovat třeba zde: http://www.minutademokracie.cz/vyzva/kontaktujte-sve-poslance-a-senatory

My dnes děkujeme především ministru Milan Chovanec za předložení návrhu novely a její obhajobu na plénu Sněmovny, poslanci Radek Vondráček za úpravu registrace třetích osob a poslancům za ČSSD, ANO, KDU-ČSL, Úsvit národní koalice a nezařazeným, kteří pro zákon hlasovali. Samozřejmě děkujeme i všem, kteří prosazení zákonů o financování stran a kampaní po dobu několika let podporovali!",http://i.imgur.com/3aRP0Tf.gif
pirati,sz,88,Předseda SZ Matěj Stropnický podává trestní oznámení na Martina Konvičku,,,https://www.facebook.com/stranazelenych/videos/10154483624694264/
pirati,sz,88,"Ještě jednou děkujeme všem spoluobčanům, kteří nás volili, za vaše hlasy. Volební výsledek je pro nás závazkem neúnavně pracovat ve prospěch všech občanů České republiky. Děkujeme!","Zelení uspěli v pěti krajích, tři zelení kandidáti postupují do druhého kola - Strana zelených","Zelení uspěli v krajských volbách celkem v pěti krajích, v nichž kandidovali společně s jinými politickými stranami. Zároveň do druhého kola senátních voleb postoupili tři zelení kandidáti, Petr Orel (SZ) v Novém Jičíně dokonce z prvního místa. Dalšími dvěma jsou Václav Bělohradský a Ladislav Kos v…",http://www.zeleni.cz/zeleni-uspeli-v-peti-krajich-tri-zeleni-kandidati-postupuji-druheho-kola/
pirati,sz,88,"Vodu je třeba zadržet v krajině, ne v přehradách. Zkusme to.

Přijďte již za pár dní k volbám!",Timeline Photos,,https://www.facebook.com/stranazelenych/photos/a.124841289263.98574.39371299263/10154593418399264/?type=3
pirati,kdu,88,,Rekonstrukce státu,"Nečekaná radost ve sněmovně. Volební zákony definitivně schváleny!

Radostná zpráva, kterou jsme opravdu nečekali, přišla dnes večer ze sněmovny. Poslanci se rozhodli neplánovaně hlasovat o zákonech vrácených ze Senátu. Jedněmi z prvních byly novely volebních zákonů - a poslanci je před malou chvílí schválili. Další rekonstrukční zákon je tedy na světě!

Od nového roku a rozhodně u příštích parlamentních voleb se tedy společně s námi můžete těšit třeba na: předvolební kampaně, na které nebudou mít strany neomezené peníze, na to, že všechny billboardy už budou označené nebo na to, že každé kuře, které bude chtít zasáhnout do kampaně, bude mít na svou podporu vybrané straně jen omezené peníze.

Pokud váš poslanec hlasoval pro, můžete mu teď poděkovat třeba zde: http://www.minutademokracie.cz/vyzva/kontaktujte-sve-poslance-a-senatory

My dnes děkujeme především ministru Milan Chovanec za předložení návrhu novely a její obhajobu na plénu Sněmovny, poslanci Radek Vondráček za úpravu registrace třetích osob a poslancům za ČSSD, ANO, KDU-ČSL, Úsvit národní koalice a nezařazeným, kteří pro zákon hlasovali. Samozřejmě děkujeme i všem, kteří prosazení zákonů o financování stran a kampaní po dobu několika let podporovali!",http://i.imgur.com/3aRP0Tf.gif
pirati,sz,83,"Strana zelených, Česká pirátská strana a Oranžový klub iniciovaly prohlášení, které vyjadřuje podporu polským ženám protestujícím proti zpřísňování protipotratové legislativy. Na svém webu ho zveřejnil i Deník Referendum. Přečtěte si jej v odkazu!

A chcete-li se i vy přidat k ""czarnemu protestu"", podepište, prosím, následující petici: http://www.petice24.com/blackprotest",Prohlášení na podporu polských žen protestujících proti zpřísnění protipotratové legislativy - Strana zelených,"Strana zelených spolu s Oranžovým klubem a Pirátskou stranou iniciovaly prohlášení, které vyjadřuje podporu polským ženám protestujícím proti zpřísňování protipotratové legislativy. Na svém webu ho zveřejnil Deník Referendum.   Se znepokojením jsme přijali informaci, že polský Sejm přijal k dalšímu…",http://www.zeleni.cz/prohlaseni-na-podporu-polskych-zen-protestujicich-proti-zprisneni-protipotratove-legislativy/
