id	vytvoreno	text	Výběr	Koho odstřelil	Tag		problém
https://twitter.com/PREZIDENTmluvci/status/791954375136509952	Fri Oct 28 10:46:51 +0000 2016	https://t.co/Hj7H2Bgxp6					
https://twitter.com/PREZIDENTmluvci/status/791954283948183552	Fri Oct 28 10:46:29 +0000 2016	Důstojné oslavy státního svátku 28.10. Slavnostní přísaha vojáků Armády ČR. https://t.co/IRIsDBIx1Z	x	opozice	opozice		
https://twitter.com/PREZIDENTmluvci/status/791949635413614592	Fri Oct 28 10:28:01 +0000 2016	Důstojné oslavy státního svátku 28.10. Za chvíli bude zahájena slavnostní přísaha vojáků Armády ČR. https://t.co/Lter5S0ScO	x	opozice	opozice		
https://twitter.com/PREZIDENTmluvci/status/791941485750923264	Fri Oct 28 09:55:38 +0000 2016	Důstojné oslavy státního svátku 28.10. Pietní akt u Národního památníku na Vítkově. https://t.co/zuyotTNrOa	x	opozice	opozice		
https://twitter.com/PREZIDENTmluvci/status/791905721298325505	Fri Oct 28 07:33:31 +0000 2016	Důstojné oslavy státního svátku 28.10. Zástupci prezidentské kanceláře uctili na Hradčanském náměstí památku TGM. https://t.co/rI22qZCgVC	x	opozice	opozice		
https://twitter.com/PREZIDENTmluvci/status/791640107975573504	Thu Oct 27 13:58:04 +0000 2016	Čerstvé informace z důstojných oslav státního svátku naleznete také na FB stránce "28. říjen 2016 bez nenávisti": https://t.co/hPIPHnrwUD	x	opozice	opozice		
https://twitter.com/PREZIDENTmluvci/status/791634346763583488	Thu Oct 27 13:35:10 +0000 2016	https://t.co/cnixJaIKPt					
https://twitter.com/PREZIDENTmluvci/status/791634319676739586	Thu Oct 27 13:35:04 +0000 2016	Důstojné oslavy státního svátku byly zahájeny. Pan prezident se tradičně setkal se členy diplomatického sboru. https://t.co/VcfUlI5O97	x	opozice	opozice		
https://twitter.com/PREZIDENTmluvci/status/791581313321017344	Thu Oct 27 10:04:26 +0000 2016	RT @MichaelRozsypal: „Je podzim, to se vždy konají antizemanovské kampaně,“ říká ke kauze #Brady na @CRoPlus @PREZIDENTmluvci: https://t.co…					
https://twitter.com/PREZIDENTmluvci/status/791576126216871936	Thu Oct 27 09:43:49 +0000 2016	Obviňování pana prezidenta kvůli kauze pořadu TV Prima je jen další lží Pražské kavárny, která místo pravdy a lásky šíří nenávist.	x	Pražská kavárna, Václav Havel, opozice	opozice, prazska kavarna, vaclav havel, media		2
https://twitter.com/PREZIDENTmluvci/status/791518385414762496	Thu Oct 27 05:54:23 +0000 2016	Protestní akci 28.10. spolupořádá agentura kandidáta na Hrad Horáčka. To nahrává tvrzení Hradu, že jde o kampaň: https://t.co/SlRU4Do9JJ	x	Michal Horáček, opozice	michal horacek, opozice		
https://twitter.com/PREZIDENTmluvci/status/791320578166759424	Wed Oct 26 16:48:22 +0000 2016	Konec hry? S medailí pro Hermanova strýce je to jinak, než se píše. Přinášíme zcela nové informace: https://t.co/z1AxBZhprU	a	Daniel Herman, Jiří Brady, opozice	daniel herman, jiri brady, opozice		
https://twitter.com/PREZIDENTmluvci/status/791315917443588096	Wed Oct 26 16:29:51 +0000 2016	RT @hynekkmonicek: Můj článek k současné situaci v Kolumbii: V Kolumbii vyhrála morálka, teď je třeba zachránit mír https://t.co/Of3L3fPV7I…					
https://twitter.com/PREZIDENTmluvci/status/791276360186601472	Wed Oct 26 13:52:40 +0000 2016	Za Zemanem v Lánech: Šachy hraju sám se sebou - https://t.co/sOX0wA01nV					
https://twitter.com/PREZIDENTmluvci/status/791270211521503233	Wed Oct 26 13:28:14 +0000 2016	Zásadní sdělení! Zveřejňuji e-mail, který jsem "zaslal" po setkání na slovenské ambasádě kolegovi. https://t.co/KrUxsVysy4	x	Daniel Herman, Jiří Brady, opozice, KDU-ČSL	opozice, daniel herman, jiri brady, kdu-csl		
https://twitter.com/PREZIDENTmluvci/status/791266450988294144	Wed Oct 26 13:13:17 +0000 2016	V těchto dnech je velmi užitečné znovu si přečíst něco o atmosféře za druhé republiky. https://t.co/SFjgwpjhDb	x	opozice	opozice		
https://twitter.com/PREZIDENTmluvci/status/791235271689986049	Wed Oct 26 11:09:23 +0000 2016	Ministr Herman pokračuje v ostudě. Jako náhlý "důkaz" má posloužit podivný mail. Sám sobě svědkem: https://t.co/GmHSWuOL9Q	x	Daniel Herman, Jiří Brady, opozice, KDU-ČSL	opozice, daniel herman, jiri brady, kdu-csl		
https://twitter.com/PREZIDENTmluvci/status/791217439891681280	Wed Oct 26 09:58:32 +0000 2016	Překladový slovník Pražské kavárny. Občanská společnost = tzv. elita. Demokracie = vláda tzv. elity.	x	Pražská kavárna, opozice	prazska kavarna, opozice		
https://twitter.com/PREZIDENTmluvci/status/791213593467449344	Wed Oct 26 09:43:15 +0000 2016	Pražská kavárna soustavně pracuje na devastaci naší státnosti. Už zneuctila standartu prezidenta republiky, teď se pokouší zničit 28.10.	x	Ztohoven, opozice, Pražská kavárna	ztohoven, umelci, prazska kavarna, opozice		2
https://twitter.com/PREZIDENTmluvci/status/791207674994122752	Wed Oct 26 09:19:44 +0000 2016	Pan prezident přijme ve čtvrtek dne 27. října 2016 ve 14.30 hodin na Pražském hradě členy diplomatického sboru: https://t.co/5l6wSSfpUQ					
https://twitter.com/PREZIDENTmluvci/status/791204677882875905	Wed Oct 26 09:07:49 +0000 2016	Ukázka mediální lži. Žádný kompars nehledáme. Srovnávat akci ve Vladislavském sále s recepcí může jen hlupák: https://t.co/NIeaB8UHQb	x	Novinky.cz, Média, Borgis, Právo, Barbora Zpěváčková	barbora zpevackova, novinky.cz, pravo, borgis		
https://twitter.com/PREZIDENTmluvci/status/791199580247433216	Wed Oct 26 08:47:34 +0000 2016	Fakta: Média se za roky 2014, 2015 a k 1.10. 2016 podle databáze zmínila o J. Bradym 4x (!). Šlo o zmínku, 2 blogy a rozh. s min. Hermanem.	x	Média, Jiří Brady, Daniel Herman	daniel herman, jiri brady, media		
https://twitter.com/PREZIDENTmluvci/status/791183108162879489	Wed Oct 26 07:42:07 +0000 2016	RT @TNcz_zpravy: Ovčáček v chatu se čtenáři TN.cz: Herman se bude stydět! Za vším je Pražská kavárna https://t.co/wvJ4JrWuPH @PREZIDENTmluv…					
https://twitter.com/PREZIDENTmluvci/status/791007996688080896	Tue Oct 25 20:06:17 +0000 2016	Jiří Ovčáček odpovídal na chatu: O pohřbu i vyznamenání - https://t.co/qsW3oj7mSX					
https://twitter.com/PREZIDENTmluvci/status/790936349108994048	Tue Oct 25 15:21:35 +0000 2016	Staromák 28.10. bude nejen o zahájení prezidentské kampaně 3H. Bude též spojen s obřadem vyzvednutí Čtyřkoalice z politického hrobu.	x	opozice, Petr Gazdík, Michal Horáček	opozice, michal horacek, petr gazdik, daniel herman, jiri brady, petr pithart		2
https://twitter.com/PREZIDENTmluvci/status/790929980926660608	Tue Oct 25 14:56:16 +0000 2016	RT @TNcz_zpravy: Dnes na https://t.co/kv5m3F5din od 20.30: Jiří Ovčáček @PREZIDENTmluvci odpoví na vaše otázky!Ptát se můžete už nyní https…					
https://twitter.com/PREZIDENTmluvci/status/790873803614199809	Tue Oct 25 11:13:03 +0000 2016	Na "Staromáku" zahájí kampaň. Na Hradě chystáme důstojnou oslavu státního svátku. Program naleznete zde: https://t.co/iELJqdiGI2	x	Halík, Horáček, Herman	jiri brady, herman, kdu-csl, opozice, horacek, petr pithart, tomas halik		2
https://twitter.com/PREZIDENTmluvci/status/790867921639710721	Tue Oct 25 10:49:40 +0000 2016	Celá "aféra" kolem státního vyznamenání je založena na lži, že pan prezident pana Bradyho vyškrtl ze seznamu vyznamenaných.	x	Herman, Brady	jiri brady, herman, kdu-csl, opozice		
https://twitter.com/PREZIDENTmluvci/status/790866318094397440	Tue Oct 25 10:43:18 +0000 2016	Kardinál Vlk: Předávání vyznamenání je ‚kšeftaření‘. Ovčáček: Kněz by neměl šířit zlobu - https://t.co/O0TNVh3rin					
https://twitter.com/PREZIDENTmluvci/status/790863341061337088	Tue Oct 25 10:31:28 +0000 2016	OVTV, videozáznam mé dnešní tiskové konference, které se zúčastnil i Jindřich Forejt: https://t.co/lmysFVNzco https://t.co/yHyXVoRSKm					
https://twitter.com/PREZIDENTmluvci/status/790655346880765956	Mon Oct 24 20:44:59 +0000 2016	Státník nikdy neposlouchá hlas médií. Naslouchá normálním lidem. https://t.co/AqD7o6KkGk	x	Média	media		
https://twitter.com/PREZIDENTmluvci/status/790611983301304320	Mon Oct 24 17:52:40 +0000 2016	Zásadní slova dr. E. Beneše jsou dodnes živým slovem a kontrastem k agresivitě Pražské kavárny a 3H. https://t.co/tnFswiSF0W	x	Pražská kavárna	prazska kavarna, opozice		
https://twitter.com/PREZIDENTmluvci/status/790566298753306624	Mon Oct 24 14:51:08 +0000 2016	O tom, že 28.10. bude na "Staromáku" zahájena prezidentská kampaň 3H, nepochybuji. Státní svátek je jen kulisou. https://t.co/DNigB5tCuF	x	Halík, Horáček, Herman	jiri brady, herman, kdu-csl, opozice, michal horacek, petr pithart, tomas halik		2
https://twitter.com/PREZIDENTmluvci/status/790554907145342976	Mon Oct 24 14:05:52 +0000 2016	Je mi smutno z faktu, že se pan Brady, který si zaslouží úctu, stal obětí politické hry min. Hermana. https://t.co/2M8vX3d2SK	x	Daniel Herman, Brady	jiri brady, herman, kdu-csl, opozice		
https://twitter.com/PREZIDENTmluvci/status/790473351470997504	Mon Oct 24 08:41:47 +0000 2016	Sprostota, vyhrožování násilím. To je Pražská kavárna a její druhá republika: https://t.co/ckN4JZ7iaD	x	Pražská kavárna, Jan Rejžek	prazska kavarna, jan rejzek		2
https://twitter.com/PREZIDENTmluvci/status/790468932356407296	Mon Oct 24 08:24:14 +0000 2016	Min. Herman si rozhovor s panem prezidentem na slov. velvy. sám vyžádal. Nepočítal ovšem s tím, že budu přítomen a budu bedlivě naslouchat.	x	Herman	daniel herman, jiri brady, kdu-csl, opozice		2
https://twitter.com/PREZIDENTmluvci/status/790464377627545600	Mon Oct 24 08:06:08 +0000 2016	25.10. se v 11:30 na Hradě uskuteční má tradiční tisková konference, mimořádně za účasti J. Forejta: https://t.co/cuUiDDL5oR					
https://twitter.com/PREZIDENTmluvci/status/790442483989766144	Mon Oct 24 06:39:08 +0000 2016	Ve státní svátek 28.10. bude v 18:30 na "Staromáku" oficiálně odstartována prezidentská kampaň 3H - Halík, Horáček, Herman.	x	Halík, Horáček, Herman	tomas halik, michal horacek, herman, jiri brady, media		2
https://twitter.com/PREZIDENTmluvci/status/790437515572416512	Mon Oct 24 06:19:23 +0000 2016	Min. Herman si udělal ze svého strýce razicí štít, kterým si buduje své politické metro.	x	Daniel Herman, Brady	jiri brady, daniel herman, kdu-csl, opozice		2
https://twitter.com/PREZIDENTmluvci/status/790308889103372288	Sun Oct 23 21:48:17 +0000 2016	Jako za druhé republiky a v 50. letech. To je svět Pražské kavárny: https://t.co/bW5CI39yWN	x	Pražská kavárna	prazska kavarna, druha republika, opozice		2
https://twitter.com/PREZIDENTmluvci/status/790277818563387392	Sun Oct 23 19:44:49 +0000 2016	25.10. v 11:30 hod. zazní na mé tiskové konferenci zásadní vyjádření pana prezidenta ke státnímu svátku 28.10. Nenávisti je třeba říci NE.	x	Daniel Herman, Brady	jiri brady, daniel herman, kdu-csl, opozice		
https://twitter.com/PREZIDENTmluvci/status/790271906381344768	Sun Oct 23 19:21:19 +0000 2016	Jde o jednoznačné vyvrácení lži, že došlo k vyškrtnutí. Jsme proto rádi, že byla SMS příbuzným zveřejněna. https://t.co/KHu3pxhR3H	x	Daniel Herman, Brady	jiri brady, daniel herman, kdu-csl		
https://twitter.com/PREZIDENTmluvci/status/790266826223673345	Sun Oct 23 19:01:08 +0000 2016	Nátlakové divadýlko, Masaryk se obrací v hrobě: https://t.co/u696GYg7tr	a				
https://twitter.com/PREZIDENTmluvci/status/790245255857729538	Sun Oct 23 17:35:25 +0000 2016	Zajímavý výsledek hlasování na webu tn.cz. https://t.co/5173q133zq	x	Média, Herman, Brady	media, tn.cz, herman, jiri brady		
